,company,rating,reviews,highlyRatedFor,jobs,salary
2456,ELGI Equipments,4.0,(457),"Job Security, Company Culture, Work Life Balance",58,2.1k
2457,Freecharge,3.7,(457),Work Life Balance,19,3.1k
2458,Prism Cement,4.1,(457),"Job Security, Company Culture, Work Life Balance",--,1.2k
2459,Almarai,4.2,(457),"Job Security, Skill Development, Company Culture",--,854
2460,ByteDance,4.1,(457),"Company Culture, Work Life Balance, Salary",10,2.2k
2461,TruBridge Healthcare Private Limited,3.8,(457),Work Life Balance,2,723
2462,Rieter,3.4,(456),Work Life Balance,4,2.4k
2463,Go Colors,3.9,(456),"Work Life Balance, Job Security",--,1.1k
2464,Ozone Overseas,3.9,(457),Work Life Balance,14,1.6k
2465,Ciena,3.9,(456),"Company Culture, Work Life Balance, Salary",--,3.2k
2466,Zscaler Softech,3.3,(457),"Job Security, Promotions, Work Satisfaction",110,3.3k
2467,Corona Remedies,4.2,(456),"Company Culture, Work Life Balance, Work Satisfaction",--,1.5k
2468,Khadims,3.6,(456),"Promotions, Salary, Skill Development",--,1.3k
2469,Impact Guru,3.6,(456),"Work Life Balance, Work Satisfaction, Job Security",101,1.7k
2470,LKQ INDIA,3.3,(456),"Promotions, Salary, Work Satisfaction",12,2.7k
2471,Cipla Health,4.2,(455),"Salary, Company Culture, Work Life Balance",--,1.5k
2472,AVAYA,3.3,(455),Work Life Balance,2,2.9k
2473,Tekion,3.5,(456),Salary,61,5.3k
2474,Midland Microfin Limited,3.5,(455),"Salary, Company Culture, Work Satisfaction",4,938
2475,Bengal Beverages,2.9,(455),"Promotions, Company Culture, Work Satisfaction",3,1.5k
2476,Brembo Brake India,4.0,(456),"Job Security, Work Life Balance, Company Culture",3,1.6k
2477,Bajaj Auto Credit,3.9,(454),"Skill Development, Company Culture, Work Life Balance",2,1.1k
2478,OLX Autos,3.9,(454),Salary,--,1.5k
2479,The Indian Hotels Company,4.0,(454),"Job Security, Company Culture",--,1.8k
2480,BSCPL Infrastructure,3.9,(453),Skill Development,2,1.3k
2481,Usha Martin,4.0,(453),"Work Life Balance, Job Security",2,1.4k
2482,Reliance Infrastructure,4.1,(454),"Work Life Balance, Company Culture, Job Security",--,2k
2483,Toyota,4.1,(453),"Work Life Balance, Skill Development, Company Culture",--,1.8k
2484,Tekion,3.5,(454),"Job Security, Promotions, Company Culture",58,5.3k
2485,Portea Medical,3.7,(453),"Promotions, Job Security, Salary",8,1.3k
2486,Dun & Bradstreet,3.0,(453),"Promotions, Job Security, Work Satisfaction",18,3.1k
2487,ZUCOL Services,3.8,(452),Company Culture,15,758
2488,Mjunction Services,3.8,(452),"Job Security, Work Life Balance",--,1.8k
2489,Vijai Electricals,3.6,(452),Skill Development,--,1.3k
2490,Konexions Back Office Services,2.6,(452),"Promotions, Company Culture, Salary",5,1.7k
2491,Fuji Electric,3.6,(451),"Promotions, Salary, Work Satisfaction",5,1.9k
2492,Knack RCM,3.0,(450),"Work Life Balance, Work Satisfaction, Promotions",17,1.7k
2493,Kaya Skin Clinic,3.3,(450),"Promotions, Company Culture, Work Life Balance",19,1.2k
2494,Tata Steel Downstream Products,3.6,(450),Job Security,--,1.5k
2495,InfoBeans,3.3,(451),"Promotions, Job Security, Work Satisfaction",30,3.7k
2496,Meyer Organics,3.6,(450),"Promotions, Work Satisfaction, Salary",16,1.5k
2497,Clean Harbors,3.4,(450),"Promotions, Skill Development, Company Culture",20,2.9k
2498,TCL,4.2,(450),"Company Culture, Work Life Balance, Skill Development",--,2.1k
2499,Transasia Bio-Medicals,3.2,(450),"Promotions, Company Culture, Work Satisfaction",12,1.8k
2500,Orient Craft,3.9,(449),"Skill Development, Company Culture, Work Satisfaction",--,1.4k
2501,Tata Steel Colors,3.7,(449),"Work Life Balance, Job Security",6,1.6k
2502,Indian Immunologicals,4.0,(449),"Work Life Balance, Job Security, Salary",1,1.7k
2503,Mashreq Global Services,3.1,(449),"Promotions, Skill Development, Work Satisfaction",44,2.5k
2504,Tata Steel Utilities and Infrastructure Services,3.6,(449),"Work Life Balance, Job Security",--,1.2k
2505,TriGeo Technologies,3.3,(449),"Promotions, Company Culture, Salary",--,1.6k
2506,Thrillophilia,3.7,(449),Skill Development,18,1k
2507,Cimpress,3.8,(449),"Company Culture, Work Life Balance",12,3.1k
2508,Flipkart Health+,3.6,(448),"Promotions, Work Satisfaction, Job Security",1,1.7k
2509,Karvy Data Management,3.1,(447),"Promotions, Salary, Company Culture",--,803
2510,SPAR Hypermarkets,3.9,(447),"Salary, Company Culture, Work Life Balance",3,1.3k
2511,Mungi Group,3.9,(447),Skill Development,20,1.9k
2512,NR Switch N Radio Services,3.8,(447),Work Life Balance,9,1.2k
2513,Regency Hospital Ltd,4.0,(447),"Work Life Balance, Company Culture, Job Security",9,1.4k
2514,NOON.COM,3.3,(447),"Promotions, Skill Development, Job Security",3,2.8k
2515,Falcon Autotech,3.8,(448),Promotions,2,2k
2516,FabHotels,3.1,(447),"Job Security, Promotions, Company Culture",3,2.1k
2517,DB Power Limited,4.7,(446),"Work Life Balance, Job Security, Company Culture",--,733
2518,Fossil Group,3.9,(446),"Work Life Balance, Company Culture",16,2.1k
2519,Indian Political Action Committee,2.8,(446),"Job Security, Promotions, Work Life Balance",--,1.7k
2520,Deluxe Entertainment,3.5,(445),"Promotions, Job Security, Skill Development",6,2.5k
2521,SABIC,4.1,(445),"Work Life Balance, Salary, Company Culture",--,1.5k
2522,Indian Political Action Committee,2.8,(446),"Job Security, Promotions, Work Life Balance",--,1.7k
2523,Alankit,3.2,(445),"Promotions, Salary, Work Satisfaction",21,1.2k
2524,Webkul Software,3.9,(445),"Skill Development, Company Culture, Work Life Balance",9,1.4k
2525,Premium Transmission,3.3,(444),"Promotions, Company Culture, Work Satisfaction",14,2k
2526,e2open,3.4,(444),"Promotions, Job Security, Skill Development",3,3.6k
2527,Talbros,3.8,(444),Promotions,6,1.8k
2528,NIFTEL COMMUNICATIONS,3.6,(444),"Promotions, Company Culture, Job Security",10,837
2529,Intercontinental Exchange,3.2,(445),"Promotions, Skill Development, Company Culture",--,3k
2530,GS Lab,3.7,(444),Work Life Balance,17,3.3k
2531,Group Bayport,4.2,(446),"Work Life Balance, Job Security, Salary",69,1.1k
2532,Sunwoda Electronic India Pvt Ltd,3.9,(444),"Job Security, Company Culture",1,1.9k
2533,Ingersoll Rand,3.7,(445),Work Life Balance,90,2.6k
2534,DesignTech Systems,3.3,(444),"Promotions, Salary, Company Culture",22,2k
2535,Chettinad Cements,3.8,(445),Salary,--,2k
2536,Dee Piping System,4.1,(443),"Skill Development, Salary, Company Culture",4,1.6k
2537,Aptech,3.3,(443),"Promotions, Work Satisfaction, Skill Development",--,1.8k
2538,Tyger Capital,4.0,(444),"Salary, Company Culture, Work Life Balance",6,1.4k
2539,SMFG India Home Finance Co,3.7,(442),Salary,--,1.1k
2540,OnePlus,3.8,(442),"Promotions, Job Security",--,2k
2541,T.v. Sundram Iyengar & Sons,3.9,(442),"Company Culture, Job Security, Skill Development",--,1.1k
2542,H & R Johnson,3.5,(442),Salary,--,1.2k
2543,State Street Bank,3.4,(443),"Promotions, Salary, Work Satisfaction",--,3.4k
2544,FM LOGISTIC,4.0,(442),"Work Life Balance, Job Security",2,1.4k
2545,Adani Logistics,3.7,(443),"Promotions, Work Satisfaction, Job Security",--,1.9k
2546,Axis Finance,3.8,(442),"Salary, Work Life Balance, Job Security",215,2.1k
2547,CMA CGM Global Business Services,4.0,(442),"Job Security, Company Culture, Work Life Balance",--,2.3k
2548,Siyaram Silk Mills,3.8,(442),Promotions,16,1.5k
2549,Skillmine Technology Consulting,3.9,(441),"Work Life Balance, Salary",8,1.7k
2550,Nexteer Automotive,3.8,(441),Promotions,--,2.7k
2551,Infosys Consulting,3.4,(441),"Job Security, Work Life Balance",--,4k
2552,Arvind Fashions,3.7,(441),Work Life Balance,--,1.9k
2553,Mahindra Lifespace Developers,4.2,(440),"Work Life Balance, Job Security, Company Culture",10,1.9k
2554,SoftwareOne,3.7,(441),Work Life Balance,54,3.7k
2555,Yutika Natural,3.4,(440),"Job Security, Promotions, Company Culture",6,1.1k
2556,Indian Institute of Technology Gandhinagar,4.1,(440),"Work Life Balance, Skill Development, Company Culture",1,2.6k
2557,AppInventiv Technologies,3.9,(440),"Company Culture, Work Life Balance, Work Satisfaction",16,2.8k
2558,Kothari Agritech,4.2,(440),"Work Life Balance, Company Culture, Work Satisfaction",6,737
2559,Rakuten Symphony,3.6,(439),"Promotions, Job Security, Work Satisfaction",8,3.7k
2560,Fitelo,3.1,(439),"Job Security, Promotions, Work Satisfaction",--,778
2561,Pawzz,4.5,(441),"Work Life Balance, Company Culture, Work Satisfaction",--,3
2562,Lambda Therapeutic Research,3.8,(439),"Job Security, Skill Development, Salary",14,1.5k
2563,Theobroma Foods,3.9,(439),Salary,31,1.4k
2564,Ami Lifesciences,3.8,(439),Salary,3,1.8k
2565,Western Union,2.8,(438),"Job Security, Promotions, Company Culture",7,2.8k
2566,NeoGrowth Credit,2.9,(438),"Job Security, Company Culture, Work Life Balance",18,1.8k
2567,PULSUS HealthTech Group,3.2,(438),"Salary, Promotions, Job Security",15,1.3k
2568,Vcare Trichology,3.6,(439),"Promotions, Company Culture, Job Security",25,1.9k
2569,Asian Granito India,3.6,(439),"Promotions, Skill Development, Work Satisfaction",2,1.6k
2570,K D Hospital,4.5,(438),"Company Culture, Job Security, Skill Development",24,358
2571,Mazagon Dock,4.2,(438),"Work Life Balance, Work Satisfaction, Company Culture",--,1.2k
2572,TotalEnergies,3.7,(438),"Promotions, Salary, Work Satisfaction",13,1.7k
2573,A. O. Smith India Water Products Private Limited,3.5,(439),Salary,6,1.5k
2574,UNIVO Education,3.3,(438),"Job Security, Promotions, Skill Development",3,1.6k
2575,ZTE Corporation,4.1,(437),"Company Culture, Work Life Balance, Work Satisfaction",5,1.2k
2576,Motilal Oswal Private Wealth Management,4.5,(437),"Company Culture, Skill Development, Work Life Balance",--,276
2577,Aker Solutions,4.0,(437),"Work Life Balance, Company Culture, Salary",1,2.2k
2578,Jyoti CNC Automation,3.9,(437),"Job Security, Skill Development",9,1.5k
2579,KLAY Preschool and Daycare,3.5,(437),"Promotions, Company Culture, Work Satisfaction",74,1.4k
2580,Bonfiglioli Transmissions Limited,3.5,(437),"Work Life Balance, Promotions, Work Satisfaction",4,1.8k
2581,Freyr Solutions,3.6,(437),Work Life Balance,5,2.7k
2582,IndusInd Capital,3.9,(436),"Work Life Balance, Company Culture",4,1.9k
2583,National Organic Chemical Industries,3.8,(436),"Work Life Balance, Job Security, Company Culture",6,1.9k
2584,International Automotive Components,3.9,(436),"Skill Development, Job Security",11,2.1k
2585,Honeywell International India,4.0,(436),"Company Culture, Work Life Balance",--,2.6k
2586,Calsoft,2.8,(436),"Promotions, Job Security, Company Culture",49,3.8k
2587,IL&FS Engineering and Construction,4.4,(436),"Work Life Balance, Company Culture, Work Satisfaction",6,932
2588,Marksans Pharma,3.4,(436),"Promotions, Company Culture, Work Life Balance",13,1.8k
2589,Learning Routes,4.5,(436),"Company Culture, Skill Development, Work Life Balance",6,439
2590,Imarticus Learning,3.9,(436),"Company Culture, Work Life Balance, Salary",3,1.3k
2591,360 Realtors,3.5,(435),"Job Security, Work Life Balance, Work Satisfaction",--,1.5k
2592,Nidec Corporation,3.6,(435),"Promotions, Skill Development",6,1.7k
2593,Citykart Retail,3.7,(435),"Company Culture, Work Satisfaction, Job Security",2,1k
2594,Nous Infosystems,3.4,(435),"Promotions, Work Satisfaction, Skill Development",44,3.5k
2595,Powerweave,3.3,(435),"Promotions, Job Security, Skill Development",--,1.7k
2596,Shiprocket Private Limited,3.4,(435),"Promotions, Job Security, Work Satisfaction",29,2.9k
2597,Mann And Hummel Filter,3.8,(435),Work Life Balance,11,1.8k
2598,Baramati Agro,3.8,(435),Promotions,3,1.6k
2599,Ind-Swift Laboratories,3.9,(434),"Job Security, Work Life Balance",13,1.6k
2600,Entrata,3.8,(434),"Company Culture, Work Life Balance",1,2.4k
2601,Kutchina,3.5,(434),"Promotions, Salary, Job Security",4,1.2k
2602,Ind-Swift Laboratories,3.9,(434),"Job Security, Work Life Balance",13,1.6k
2603,GTL Infrastructure,4.2,(434),"Company Culture, Work Life Balance, Work Satisfaction",--,912
2604,Groupon,3.0,(434),"Job Security, Promotions, Skill Development",--,2.3k
2605,IIMI Image Management Private Limited,4.0,(435),"Company Culture, Work Satisfaction, Work Life Balance",2,558
2606,Orient Bell,3.4,(433),"Promotions, Company Culture, Work Satisfaction",3,1.5k
2607,Nowfloats Technologies,3.8,(433),Promotions,--,1.1k
2608,Nagarjuna Fertilizers and Chemicals,4.1,(433),"Company Culture, Work Life Balance, Skill Development",--,1.3k
2609,Self Practice,4.4,(433),"Skill Development, Work Life Balance, Work Satisfaction",--,5.9k
2610,Paynearby Technologies,3.9,(433),"Salary, Company Culture, Work Life Balance",--,1.4k
2611,Ramada,3.8,(433),Promotions,1,1.1k
2612,Tessolve,3.3,(433),"Promotions, Salary, Work Satisfaction",85,3k
2613,Haldia Petrochemicals,3.7,(433),"Job Security, Work Life Balance",--,2k
2614,Intelizign Lifecycle Services,3.8,(432),"Company Culture, Work Life Balance, Job Security",41,2.6k
2615,CWT,3.5,(432),"Promotions, Skill Development, Company Culture",--,1.4k
2616,Carrier Midea,3.4,(432),"Promotions, Job Security, Salary",6,1.8k
2617,ARMSOFTECH.AIR,3.3,(433),"Promotions, Salary, Company Culture",4,1.4k
2618,RSWM Limited,4.1,(432),"Company Culture, Job Security, Work Life Balance",18,1.3k
2619,FCM Travel,3.3,(434),"Promotions, Job Security, Work Satisfaction",1,1.5k
2620,Capital Foods,4.2,(431),"Salary, Work Life Balance, Company Culture",5,1.3k
2621,Desun Hospital & Heart Institute,3.7,(431),Skill Development,8,1.1k
2622,Le Méridien,4.0,(431),"Skill Development, Company Culture, Job Security",--,1.2k
2623,Flipkart Wholesale,3.9,(431),Promotions,--,1.1k
2624,Tally Solutions,4.0,(431),"Company Culture, Work Life Balance, Job Security",28,2.4k
2625,Pon Pure Chemical,3.6,(432),Job Security,19,1.5k
2626,Aculife Healthcare,2.9,(431),"Promotions, Company Culture, Work Satisfaction",3,1.5k
2627,India Nippon Electricals,3.6,(431),"Promotions, Salary",41,1.6k
2628,Samsung C&T,4.2,(430),"Salary, Company Culture, Work Life Balance",12,1.4k
2629,Novartis Healthcare,4.0,(430),"Work Life Balance, Company Culture, Salary",3,3.1k
2630,Ensono,4.1,(430),"Company Culture, Work Life Balance, Salary",64,2.6k
2631,Hero Housing Finance,3.8,(430),Promotions,1,1.6k
2632,Reshamandi,3.5,(430),"Job Security, Promotions, Skill Development",--,599
2633,Europa Locks,3.8,(430),Work Life Balance,8,1.8k
2634,Eurofins It Solutions,2.9,(430),"Promotions, Company Culture, Work Satisfaction",--,3.5k
2635,Ashiana Housing,4.0,(430),"Job Security, Skill Development, Company Culture",32,1.6k
2636,YKK,3.7,(430),"Job Security, Work Life Balance",--,1.4k
2637,Lotte India Corporation,4.0,(431),Work Life Balance,38,1.4k
2638,Chambal Fertilisers And Chemicals,3.8,(430),"Job Security, Salary",--,1.6k
2639,Astra Microwave Products,3.9,(429),"Job Security, Work Life Balance, Work Satisfaction",12,2.1k
2640,Buhler,3.8,(429),"Promotions, Salary",--,1.9k
2641,IMS People,3.6,(429),"Promotions, Salary, Work Satisfaction",--,2.2k
2642,Mintifi,3.4,(429),"Job Security, Promotions, Company Culture",--,1.3k
2643,Silver Touch Technologies,3.0,(429),"Promotions, Salary, Company Culture",13,2.6k
2644,Spice Money,4.1,(429),"Company Culture, Work Life Balance, Skill Development",1,1.5k
2645,ABCI Infrastructures,3.3,(429),"Promotions, Company Culture, Work Satisfaction",6,7.8k
2646,B.C. Jindal Group of Companies,3.9,(428),"Work Life Balance, Salary",--,1.1k
2647,CES,3.3,(429),"Promotions, Job Security, Skill Development",25,2.6k
2648,TTK Healthcare,4.1,(427),"Work Life Balance, Company Culture, Job Security",12,1.3k
2649,Samsung SDS,2.9,(427),"Skill Development, Promotions, Company Culture",--,2.9k
2650,ANR Software Private Limited,4.1,(426),"Job Security, Skill Development, Company Culture",19,1.1k
2651,Nettur Technical Training Foundation,3.6,(426),"Promotions, Salary, Company Culture",2,1.2k
2652,Oberoi Realty,4.3,(426),"Work Life Balance, Salary, Company Culture",10,2k
2653,Motherhood Hospital,3.6,(426),"Promotions, Salary, Company Culture",113,1.8k
2654,Prolifics Corporation,3.6,(426),"Promotions, Salary, Company Culture",45,2.5k
2655,Samsonite,4.1,(427),"Company Culture, Work Life Balance, Work Satisfaction",20,1.4k
2656,Systems Plus,4.2,(426),"Work Life Balance, Company Culture, Salary",48,1.6k
2657,Shyam Sel & Power,3.7,(425),"Promotions, Company Culture",--,1.5k
2658,Uniparts Group,3.7,(424),"Promotions, Job Security, Company Culture",2,1.6k
2659,Secure Value,3.4,(424),"Promotions, Job Security, Salary",--,880
2660,Franchise India Brands,2.9,(425),"Job Security, Promotions, Company Culture",7,1.3k
2661,Uniparts Group,3.7,(424),"Promotions, Job Security, Company Culture",2,1.6k
2662,Indiafilings,3.9,(423),"Skill Development, Company Culture, Work Life Balance",7,1.1k
2663,Educomp Solutions,3.4,(423),"Job Security, Promotions, Salary",--,633
2664,Capital Trust,3.4,(423),"Job Security, Company Culture, Work Life Balance",--,863
2665,DataMetica,3.0,(423),"Work Life Balance, Promotions, Company Culture",73,3k
2666,Global Indian International School,4.2,(422),"Job Security, Company Culture, Work Satisfaction",31,1k
2667,Saama Technologies,3.7,(422),"Promotions, Job Security, Work Satisfaction",6,3.7k
2668,NCSI Technologies Pvt Ltd,3.7,(422),"Promotions, Work Satisfaction, Job Security",2,1.9k
2669,Tagros Chemicals,3.5,(423),"Promotions, Company Culture, Job Security",14,1.9k
2670,Bangalore International Airport,4.3,(422),"Job Security, Company Culture, Work Life Balance",4,1.6k
2671,Bonace Engineers,4.0,(422),"Work Life Balance, Salary, Company Culture",--,1.2k
2672,Sagar Cements,4.3,(421),"Job Security, Work Life Balance, Company Culture",--,1.4k
2673,Metrochem Api,3.1,(421),"Promotions, Salary, Company Culture",13,1.9k
2674,Zealous Services,2.6,(422),"Salary, Promotions, Job Security",2,1.1k
2675,Roca Bathroom Products,3.7,(421),"Promotions, Work Satisfaction, Company Culture",8,1.4k
2676,Owens Corning,3.6,(422),Job Security,2,1.8k
2677,Gtpl Hathway,4.0,(421),"Work Life Balance, Job Security",6,1.9k
2678,myGate,3.0,(421),"Job Security, Work Life Balance, Work Satisfaction",7,2.2k
2679,Hike Education Private Limited,4.3,(421),"Company Culture, Skill Development, Work Satisfaction",2,710
2680,Aka Logistics,3.2,(421),"Promotions, Company Culture, Job Security",5,1.4k
2681,National Bulk Handling Corporation,4.1,(420),"Work Life Balance, Company Culture, Work Satisfaction",4,1.1k
2682,Starbucks,4.1,(421),"Job Security, Company Culture, Skill Development",--,1.1k
2683,Medica Superspecialty Hospital,3.9,(420),"Promotions, Salary",158,1.5k
2684,Adani Infra,3.8,(420),Salary,--,1.8k
2685,MyMoneyMantra,3.1,(420),"Promotions, Job Security, Salary",--,1.8k
2686,Venus Remedies,4.2,(420),"Company Culture, Work Life Balance, Work Satisfaction",39,1k
2687,Mahindra Last Mile Mobility,3.8,(421),Job Security,--,1.3k
2688,Qwik Supply Chain,3.8,(420),"Work Life Balance, Skill Development",--,1.1k
